#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 260000      6.20e-01      1.84e-03      6.35e-02    8.2e-04
 261000      6.96e-01      3.19e-03      6.24e-02    8.2e-04
 262000      6.56e-01      8.24e-04      7.15e-02    8.2e-04
 263000      8.12e-01      2.14e-03      8.46e-02    8.2e-04
 264000      5.84e-01      6.18e-04      6.39e-02    8.2e-04
 265000      8.07e-01      9.76e-05      8.93e-02    8.2e-04
 266000      8.10e-01      1.80e-03      8.29e-02    8.2e-04
 267000      6.25e-01      1.34e-03      6.66e-02    8.2e-04
 268000      6.65e-01      2.28e-05      7.36e-02    8.2e-04
 269000      6.41e-01      1.54e-03      6.76e-02    8.2e-04
 270000      9.31e-01      3.64e-03      9.00e-02    8.1e-04
 271000      9.29e-01      5.94e-03      6.18e-02    8.1e-04
 272000      6.16e-01      6.38e-05      6.82e-02    8.1e-04
 273000      5.15e-01      5.40e-04      5.65e-02    8.1e-04
 274000      6.59e-01      1.18e-03      7.12e-02    8.1e-04
 275000      7.08e-01      1.94e-03      7.38e-02    8.1e-04
 276000      7.89e-01      1.47e-03      8.52e-02    8.1e-04
 277000      7.80e-01      1.07e-03      8.53e-02    8.1e-04
 278000      6.44e-01      1.31e-03      6.91e-02    8.1e-04
 279000      6.60e-01      2.02e-03      6.77e-02    8.1e-04
 280000      9.48e-01      3.78e-03      9.13e-02    8.1e-04
 281000      6.15e-01      1.29e-03      6.60e-02    8.1e-04
 282000      2.13e+00      4.09e-05      2.37e-01    8.1e-04
 283000      5.77e-01      9.85e-04      6.27e-02    8.1e-04
 284000      2.25e-01      4.05e-04      2.48e-02    8.1e-04
 285000      8.72e-01      1.81e-03      9.37e-02    8.0e-04
 286000      8.88e-01      8.61e-04      9.82e-02    8.0e-04
 287000      6.69e-01      4.86e-04      7.43e-02    8.0e-04
 288000      6.03e-01      8.43e-04      6.62e-02    8.0e-04
 289000      7.42e-01      7.02e-04      8.21e-02    8.0e-04
 290000      3.16e-01      3.28e-03      1.96e-02    8.0e-04
 291000      7.42e-01      2.85e-04      8.26e-02    8.0e-04
 292000      6.09e-01      9.60e-05      6.79e-02    8.0e-04
 293000      1.36e+00      2.98e-04      1.51e-01    8.0e-04
 294000      1.06e+00      6.13e-03      8.10e-02    8.0e-04
 295000      7.23e-01      4.39e-03      5.33e-02    8.0e-04
 296000      6.15e-01      1.36e-03      6.38e-02    8.0e-04
 297000      6.28e-01      9.96e-04      6.89e-02    8.0e-04
 298000      7.36e-01      4.59e-04      8.19e-02    8.0e-04
 299000      6.40e-01      7.17e-04      7.08e-02    8.0e-04
 300000      8.90e-01      5.03e-03      7.16e-02    7.9e-04
 301000      6.19e-01      2.32e-03      6.12e-02    7.9e-04
 302000      6.31e-01      6.80e-04      7.01e-02    7.9e-04
 303000      5.62e-01      9.85e-04      6.14e-02    7.9e-04
 304000      6.57e-01      3.36e-03      5.68e-02    7.9e-04
 305000      2.40e+00      5.03e-04      2.69e-01    7.9e-04
 306000      7.96e-01      4.36e-03      6.58e-02    7.9e-04
 307000      7.38e-01      6.01e-04      8.24e-02    7.9e-04
 308000      7.15e-01      3.85e-04      8.01e-02    7.9e-04
 309000      5.59e-01      1.05e-03      6.11e-02    7.9e-04
 310000      9.69e-01      1.16e-03      1.08e-01    7.9e-04
 311000      7.74e-01      1.05e-03      8.48e-02    7.9e-04
 312000      6.82e-01      2.10e-03      7.10e-02    7.9e-04
 313000      8.94e-01      2.48e-04      1.01e-01    7.9e-04
 314000      8.99e-01      3.91e-03      8.55e-02    7.9e-04
 315000      7.82e-01      1.18e-03      8.66e-02    7.9e-04
 316000      6.78e-01      3.69e-04      7.63e-02    7.9e-04
 317000      1.74e-01      6.88e-04      1.86e-02    7.9e-04
 318000      5.32e-01      6.36e-03      1.90e-02    7.9e-04
 319000      7.55e-01      1.90e-03      8.10e-02    7.9e-04
 320000      6.98e-01      3.37e-03      6.33e-02    7.8e-04
 321000      5.61e-01      1.60e-03      6.17e-02    7.8e-04
 322000      5.65e-01      9.95e-04      6.09e-02    7.8e-04
 323000      6.54e-01      2.24e-04      7.38e-02    7.8e-04
 324000      6.64e-01      2.78e-03      6.43e-02    7.8e-04
 325000      5.54e-01      1.95e-03      5.64e-02    7.8e-04
 326000      5.24e-01      3.08e-04      5.90e-02    7.8e-04
 327000      3.79e+00      4.47e-03      4.24e-01    7.8e-04
 328000      2.71e-01      8.95e-04      2.96e-02    7.8e-04
 329000      1.19e+00      2.07e-03      1.31e-01    7.8e-04
 330000      5.65e-01      4.53e-04      6.37e-02    7.8e-04
 331000      4.88e-01      1.82e-03      4.90e-02    7.8e-04
 332000      8.85e-01      3.17e-04      1.00e-01    7.8e-04
 333000      5.92e-01      1.65e-03      6.32e-02    7.8e-04
 334000      7.04e-01      1.55e-03      7.42e-02    7.8e-04
 335000      7.01e-01      7.62e-04      7.89e-02    7.7e-04
 336000      6.35e-01      3.98e-04      7.18e-02    7.7e-04
 337000      7.75e-01      1.18e-03      8.64e-02    7.7e-04
 338000      1.83e+00      1.27e-03      2.06e-01    7.7e-04
 339000      1.46e+00      7.64e-04      1.66e-01    7.7e-04
 340000      7.88e-01      3.10e-03      6.76e-02    7.7e-04
 341000      5.75e-01      2.15e-03      5.82e-02    7.7e-04
 342000      8.73e-01      1.22e-03      9.78e-02    7.7e-04
 343000      6.34e-01      1.28e-03      6.98e-02    7.7e-04
 344000      7.17e-01      7.21e-04      8.10e-02    7.7e-04
 345000      5.83e-01      3.55e-05      6.64e-02    7.7e-04
 346000      5.80e-01      1.05e-03      6.44e-02    7.7e-04
 347000      6.17e-01      1.48e-03      6.72e-02    7.7e-04
 348000      7.62e-01      8.61e-05      8.69e-02    7.7e-04
 349000      4.99e-01      1.20e-03      5.43e-02    7.7e-04
 350000      5.93e-01      7.16e-04      6.70e-02    7.6e-04
 351000      7.18e-01      1.08e-03      8.06e-02    7.6e-04
 352000      5.81e-01      1.48e-03      6.31e-02    7.6e-04
 353000      8.00e-01      2.25e-03      8.07e-02    7.6e-04
 354000      1.82e+00      5.77e-04      2.07e-01    7.6e-04
 355000      5.64e-01      2.66e-03      5.26e-02    7.6e-04
 356000      7.19e-01      3.52e-03      6.59e-02    7.6e-04
 357000      5.63e-01      5.71e-04      6.34e-02    7.6e-04
 358000      6.79e-01      1.45e-03      7.51e-02    7.6e-04
 359000      6.64e-01      4.98e-04      7.57e-02    7.6e-04
 360000      6.39e-01      1.56e-03      6.99e-02    7.6e-04
 361000      5.88e-01      1.02e-03      6.59e-02    7.6e-04
 362000      7.41e-01      2.09e-04      8.49e-02    7.6e-04
 363000      5.14e-01      8.87e-05      5.89e-02    7.6e-04
 364000      5.84e-01      1.26e-03      6.47e-02    7.6e-04
 365000      7.27e-01      6.77e-04      8.25e-02    7.6e-04
 366000      6.25e-01      3.50e-04      7.16e-02    7.6e-04
 367000      5.54e-01      9.00e-04      6.23e-02    7.6e-04
 368000      4.76e-01      5.45e-04      5.41e-02    7.6e-04
 369000      6.77e-01      2.68e-03      6.80e-02    7.6e-04
 370000      4.69e-01      9.24e-04      5.24e-02    7.5e-04
 371000      5.10e-01      9.57e-05      5.87e-02    7.5e-04
 372000      6.62e-01      3.04e-03      6.29e-02    7.5e-04
 373000      6.12e-01      4.72e-04      7.02e-02    7.5e-04
 374000      6.35e-01      2.60e-04      7.30e-02    7.5e-04
 375000      6.01e-01      5.17e-04      6.89e-02    7.5e-04
 376000      7.74e-01      3.14e-03      7.75e-02    7.5e-04
 377000      4.69e-01      7.94e-05      5.40e-02    7.5e-04
 378000      5.24e-01      2.34e-03      5.10e-02    7.5e-04
 379000      7.48e-01      6.99e-04      8.57e-02    7.5e-04
 380000      1.98e-01      3.94e-04      2.26e-02    7.5e-04
 381000      1.80e-01      1.13e-03      1.82e-02    7.5e-04
 382000      5.69e-01      4.94e-04      6.54e-02    7.5e-04
 383000      6.53e-01      1.91e-03      7.04e-02    7.5e-04
 384000      7.79e-01      4.44e-03      6.45e-02    7.5e-04
 385000      5.37e-01      1.18e-03      5.80e-02    7.4e-04
 386000      6.19e-01      2.42e-03      6.33e-02    7.4e-04
 387000      6.36e-01      1.33e-03      6.91e-02    7.4e-04
 388000      8.40e-01      3.63e-03      8.25e-02    7.4e-04
 389000      7.92e-01      1.00e-03      9.06e-02    7.4e-04
 390000      3.16e-01      1.02e-03      3.54e-02    7.4e-04
 391000      5.04e-01      6.59e-04      5.71e-02    7.4e-04
 392000      7.47e-01      3.63e-03      7.00e-02    7.4e-04
 393000      5.07e-01      3.15e-04      5.86e-02    7.4e-04
 394000      5.85e-01      2.31e-03      5.99e-02    7.4e-04
 395000      6.93e-01      4.23e-03      5.53e-02    7.4e-04
 396000      6.69e-01      3.13e-04      7.76e-02    7.4e-04
 397000      5.24e-01      4.13e-06      6.08e-02    7.4e-04
 398000      1.27e+00      3.18e-03      1.41e-01    7.4e-04
 399000      5.77e-01      4.74e-04      6.67e-02    7.4e-04
 400000      7.13e-01      5.02e-04      8.27e-02    7.4e-04
 401000      3.57e-01      4.13e-03      1.89e-02    7.4e-04
 402000      6.48e-01      6.93e-04      7.47e-02    7.4e-04
 403000      6.74e-01      3.50e-03      6.11e-02    7.4e-04
 404000      6.13e-01      1.11e-03      6.97e-02    7.4e-04
 405000      5.01e-01      3.23e-04      5.82e-02    7.3e-04
 406000      5.70e-01      4.49e-04      6.62e-02    7.3e-04
 407000      5.32e-01      9.45e-04      6.06e-02    7.3e-04
 408000      4.67e-01      5.66e-03      2.02e-02    7.3e-04
 409000      1.44e+00      5.88e-03      1.59e-01    7.3e-04
